Tittle,Название,Категория,Состав,Метод,Теги,Фото,Фото-ссылка
,"Лимонад ""Апельсин-Базилик""","Лимонад ","Кордиал ""Апельсин-Базилик"" п/ф 50 мл
Бонаква 200 мл
Апельсин (украшение) 1 долька","Бокал наполнить льдом. Налить кордиал, долить Бонаквой, перемешать. Украсить долькой апельсина в бокал.",Свежий Цитрусовый Травянистый,,
,Глинтвейн Б/А (красный/белый),Лимонад,"Сок (вишня/яблоко) 175 мл
Мёд 15 гр
Апельсин 1 долька
Яблоко 1 долька
Приправа для глинтвейна 1 гр
Апельсин сушёный 1 слайс","В Питчер добавить сок, фрукты нарезанные кубиками, мёд и специю. Подогреть на Форсунке, перемешать дополнительно ложкой и перелить в бокал. Сверху положить Сушёный Апельсин.",Безалкогольный Пряный Согревающий,IMG_7468.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7468_7_Lrr.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=9dfc6ca7674301f6faf645010ca7d6d4a4a0948552a5ef00d342c7ba53fb812e&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7468.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7468_7_Lrr.jpeg
,Клубничный Мохито Б/А,Лимонад,"Лайм 50 гр
Сироп ""Клубника"" 40 мл
Мята 5 гр
Вода Бонаква газ. 150 мл
Клубника с/м 3 слайса","В бокале потолочь лайм и сироп. Добавить мяту и колотый лёд, долить сверху Бонаквой. Размешать. Украсить тремя слайсами клубники на лёд.",Свежий Летний  Клубничный,,
,Лимонад Домашний (1 л.),Лимонад,"Фреш Апельсина 250 мл
Добрый Лимон-Лайм 450 мл
Лимон 5 долек","В графин положить лимон,налить Фреш, засыпать льдом и долить Добрый Лимон-Лайм.",Домашний Цитрусовый  НаКомпанию,,
,Лимонад Домашний (350 мл.),Лимонад,"Фреш Апельсина 100 мл
Добрый Лимон-Лайм 150 мл
Лимон 4 дольки","В бокал положить лимон,налить Фреш, засыпать льдом и долить Добрый Лимон-Лайм.","Домашний Цитрусовый ",,
,Мохито Б/А,Лимонад,"Лайм 50 гр
Сахарный сироп 40 мл
Мята 5 гр
Вода Бонаква газ. 150 мл","В бокале потолочь лайм и сахар.сироп. Добавить мяту и колотый лёд, долить сверху Бонаквой. Размешать. Украсить долькой лайма на лёд.",Свежий Летний Мятный,IMG_7469.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7469_Z-_AE.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=d2b3c8c5632d2f98fae35e738812344567148ffa1a13d48adf72d1f52d444cf1&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7469.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7469_b78Ku.jpeg
,"Кордиал ""Апельсин-Базилик"" ",Заготовка,"Базилик 30 гр
Цедра апельсина (~1 апельсин) 30 гр
Вода фильтр 650 мл
Сахар песок 600 гр
Соль 2 гр
Лимонная кислота 10 гр
Аскорбиновая кислота 6 гр","Базилик заморозить и мелко порубить. Снять цедру с 1 апельсина. Воду и сахар смешать, чтобы получился САХАРНЫЙ СИРОП. В вакуумном пакете смешать: Базилик, Цедру Апельсина, Сахарный Сироп, Кислоты и Соль. Запаять пакет в вакууматоре на режиме ""2"" (лучше 2 раза, чтобы не протёк). Положить пакет на противень и убрать его на кофемашину на 2-3 часа. Отфильтровать через мелкое сито, залить в бутылку и убрать в холодильник.",Полуфабрикат Заготовка,,
,"Кордиал ""Имбирь-Лайм"" ",Заготовка,"Имбирь свеж. 150 гр.
Вода фильтрованная 600 мл.
Лайм 300 гр.
Сахар-песок 350 гр.
Лимонная кислота 3,5 гр.","Промыть имбирь, почистить ложкой столовой и натереть на средней тёрке. С лайма снять цедру и потом выдавить сок. В кастрюлю-сотейник добавить: САХАР, ВОДУ, ЦЕДРУ ЛАЙМА и НАТЁРТЫЙ ИМБИРЬ. Проварить на среднем огне до растворения сахара и потом ещё 2 мин!. Выключить плиту и в кастрюлю добавить сок лаймов и лимонную кислоту. Накрыть крышкой на 5 мин. Убрать крышку, дать остыть до комнатной температуры и отфильтровать через мелкое сито по бутылкам. В холодильник на 2 часа!",Полуфабрикат Заготовка,,
,"Кордиал ""Клюква"" ",Заготовка,"Клюква с/м 240 гр.
Лист Кафирского лайма 3 шт.
Лимонная кислота 18 гр.
Яблочная кислота 10 гр.
Аскорбиновая кислота 3 гр.
Вода фильтрованная 700 мл.","Клюкву предварительно разморозить при комнатной температуре. Забросить все ингредиенты (кроме ВОДЫ) в вакуумный пакет и завакуумировать на режиме ""1"". Немного раздавить клюкву в пакете. 2 часа на кофемашине или тёплом месте. Через 2 часа смешать с водой в мернике и дать постоять 10 мин. Отфильтровать через мелкое сито по бутылкам. В холодильник на 2 часа!",Полуфабрикат Заготовка,,
,"Сироп ""Рябина"" ",Заготовка,"Черноплодная рябина с/м 500 гр.
Чай Каркаде (кухня) 20 гр.
Сахар 900 гр.
Вода фильтр. 1100 мл.","Все ингредиенты добавить в кастрюлю-сотейник. Довести до кипения и варить на медленном огне 20 мин, помешивая. Дать остыть, процедить через сито не продавливая ягоду! Перелить в стекляную бутылку.",Полуфабрикат Заготовка,,
