Название,Описание,Граммовка,Фотка,Фото-ссылка,Состав,Теги
Брецель с солью,"Баварский крендель с солью — одна из традиционных закусок к пиву на народных гуляньях. В состав брецелей, как правило, входят: пшеничная мука, солод, дрожжи и вода. Перед выпечкой брецели погружают на несколько секунд в раствор соды, благодаря чему они приобретают при выпечке типичный коричневый цвет, а потом посыпают крупной солью.",80 гр.,,,,Брецель солью
Брецель с солью с сырным соусом и пепперони,"Классический баварский крендель с солью, подается с сырным соусом и колбасками пепперони.",80/40 гр.,IMG_7455_39qi8.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/IMG_7455_39qi8_pgJ6h.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115323Z&X-Amz-Expires=7597&X-Amz-Signature=831e561eb600f02b56a5940b331b118b2094a510e02d5ce4eaca5f57ffb270db&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7455_39qi8.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mw3nimsc8lqrdn9/cvn1fy441f3tg8j/IMG_7455_39qi8.jpeg,,Брецель солью сырным соусом пепперони пеперони
Домашние чипсы,"Хрустящие ржано-пшеничные чипсы из лаваша, приготовленные во фритюре со специями.",40 гр.,,,,домашние чипсы
Рулетики из баклажанов с сыром фета,"5 рулетиков из баклажанов с начинкой из творожного сыра со сметаной, чеснока, грецкого ореха, на подушке из соуса ""Сальса"", с кинзой.",150 гр.,,,,Рулетики баклажанов баклажан сыром сыр фета
Тарелка к водке,"Сало соленое, сало крученое, форшмак из сельди, печеночный паштет, квашеная капуста, маринованный огурец, тосты бородинские. Подаётся с горчицей и зеленью.

 <br>

  <br>

 Форшмак — закуска из рубленой сельди с яблоками, луком, яйцом, горчицей, лимонным соком.",330 гр.,,,,Тарелка водке водка
Ассорти рыб к пиву,"Щука х/к, тюлька вяленая, мойва х/к, филе кеты и окуня, а также картофель пай.",180 гр.,IMG_7457_pxL3G.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/IMG_7457_pxL3G_ijZ1L.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115323Z&X-Amz-Expires=7597&X-Amz-Signature=fecbcaaf7b464ed2daeaba423b812a491bf275e33f44bd664698bdb39e817b65&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7457_pxL3G.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mw3nimsc8lqrdn9/cvn1fy441f3tg8j/IMG_7457_pxL3G.jpeg,,ассорти рыб пиву рыба пиво асорти
Ассорти рыбное,"Филе кеты, лосось слабой соли, тунец, сельдь с зеленью, долькой лимона и маслинами.",200 гр.,,,,ассорти асорти рыбное рыба
Свежие овощи с домашней аджикой,"Болгарский перец, морковь, сельдерей, томаты черри, редис, огурец, зелень и острая аджика.",270/30 гр.,,,,свежие овощи аджикой аджика домашней
Пивной хворост,"Хрустящие чипсы, приготовленные во фритюре из пивного кляра.",50 гр.,,,,пивной хворост чипсы
Ржаные чипсы,"Хрустящие тонкие слайсы из ржано-пшеничного хлеба с чесноком и солью, приготовленные во фритюре.",50 гр.,,,,ржаные чипсы
Холодная рулька с хреном и аджикой,"Рулет из свиной рульки с красным луком, сливочным хреном, аджикой и зеленью.",100/25 гр.,,,,холодная рулька хреном хрен аджикой аджика
